@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
728,878,1238,1247,7,0,0,1.3125,-0.6875,0
1219,1569,1389,1469,0,0,0,1.3125,-0.6875,0
3272,3955,3655,3756,0,1,0,1.3125,-0.6875,0
3243,3493,3871,3357,5,1,0,1.3125,-0.6875,0
989,1267,1547,1290,6,0,0,1.3125,-0.6875,0
882,1283,1278,1453,0,0,0,1.3125,-0.6875,0
4390,4716,5128,5641,7,1,0,1.3125,-0.6875,0
4554,4328,4817,4685,5,1,0,1.3125,-0.6875,0
631,1201,1196,1290,0,0,0,0.8125,-1.1875,0
774,1035,1284,1001,0,1,1,0.8125,-1.1875,0
1315,1779,1992,2112,6,0,0,0.8125,-1.1875,0
916,1256,1369,1312,0,0,0,0.8125,-1.1875,0
5366,5039,4593,5495,5,1,0,0.8125,-1.1875,1
1585,1724,1952,1981,0,0,0,0.8125,-1.1875,0
3061,2931,3192,2823,7,0,0,0.8125,-1.1875,0
222,788,901,844,0,1,1,0.895833,-1.10417,0
811,1376,1433,1506,2,1,0,0.895833,-1.10417,0
569,1134,1134,1134,0,1,1,0.895833,-1.10417,0
2660,2827,2786,2830,0,0,0,0.895833,-1.10417,0
3079,2754,3249,3193,0,0,0,0.895833,-1.10417,0
1711,2051,2164,2220,0,0,0,0.895833,-1.10417,0
1451,1564,2094,1677,0,1,0,0.895833,-1.10417,0
5038,4951,5633,5690,4,1,0,0.895833,-1.10417,0
1945,2243,2115,2519,0,1,0,0.895833,-1.10417,0
3398,5410,3624,4463,0,0,0,0.895833,-1.10417,1
460,969,1025,1025,0,1,1,1.15625,-0.84375,0
537,1103,1159,1103,0,1,1,1.15625,-0.84375,0
3391,3731,3787,3900,0,0,0,1.15625,-0.84375,0
4408,4188,4176,4634,6,1,0,1.15625,-0.84375,0
917,1257,1241,1426,0,0,0,1.15625,-0.84375,0
1033,1580,1316,1805,0,1,0,1.15625,-0.84375,0
3563,3435,3491,3435,0,1,0,1.15625,-0.84375,0
3928,3975,3882,4896,0,0,0,1.15625,-0.84375,1
1311,1519,2014,1537,0,1,0,1.15625,-0.84375,0
1157,1440,1553,1578,0,1,0,1.15625,-0.84375,0
601,1110,1166,1110,0,1,1,1,-1,0
640,1206,1206,1206,0,1,1,1,-1,0
333,899,899,899,0,1,1,1,-1,0
468,1034,1090,1034,0,1,1,1,-1,0
562,1071,1127,1071,0,1,1,1,-1,0
557,1123,1123,1123,0,1,1,1,-1,0
541,1107,1163,1107,0,1,1,1,-1,0
674,1239,1239,1239,0,1,1,1,-1,0
3182,3451,3535,3883,0,0,0,1,-1,0
2987,2379,2443,2742,0,0,0,1,-1,0
897,1067,1105,1029,0,1,0,1,-1,0
972,2100,1255,1199,0,1,0,1,-1,0
3472,3651,4076,5474,4,1,0,1,-1,0
4455,3875,4604,3960,2,0,0,1,-1,0
925,1037,984,984,0,0,0,1,-1,0
948,1315,1286,989,0,0,0,1,-1,0
349,858,971,915,0,1,1,1.02083,-0.979167,0
356,865,921,921,0,1,1,1.02083,-0.979167,0
540,1049,1162,1105,0,1,1,1.02083,-0.979167,0
329,895,951,895,0,1,1,1.02083,-0.979167,0
636,1259,1201,1201,0,1,1,1.02083,-0.979167,0
576,1085,1198,1141,0,1,1,1.02083,-0.979167,0
658,1224,1280,1280,0,1,1,1.02083,-0.979167,0
690,1199,1312,1255,0,1,1,1.02083,-0.979167,0
3202,2615,2790,3222,5,0,0,1.02083,-0.979167,0
4907,5076,5246,5076,0,0,0,1.02083,-0.979167,0
641,697,811,754,0,1,1,1.02083,-0.979167,0
407,916,973,985,0,0,0,1.02083,-0.979167,0
3757,3559,3085,3567,6,1,0,1.02083,-0.979167,0
2223,3995,2421,2421,0,1,1,1.02083,-0.979167,0
1497,1573,1723,1749,2,1,0,1.02083,-0.979167,0
734,1044,1044,1157,4,0,0,1.02083,-0.979167,0
724,1356,1790,1666,0,0,0,1.10417,-0.895833,0
685,1402,1369,1369,0,1,1,1.10417,-0.895833,0
452,1176,1012,1012,0,1,1,1.10417,-0.895833,0
710,1266,1322,1266,0,1,1,1.10417,-0.895833,0
576,1291,1291,1234,0,1,1,1.10417,-0.895833,0
522,1257,1477,1348,0,1,1,1.10417,-0.895833,0
567,1333,1242,1242,0,1,1,1.10417,-0.895833,0
747,1242,1242,1374,0,1,1,1.10417,-0.895833,0
3326,2036,2323,2177,5,1,1,1.10417,-0.895833,1
2195,2429,2478,2600,0,0,0,1.10417,-0.895833,0
1043,1390,1701,1672,0,0,0,1.10417,-0.895833,0
1126,1631,1868,1744,0,0,0,1.10417,-0.895833,0
2409,3249,2918,2861,0,1,1,1.10417,-0.895833,0
1699,1967,1925,1887,0,0,0,1.10417,-0.895833,0
914,1254,1367,1197,0,1,0,1.10417,-0.895833,0
1039,2101,2336,2280,0,1,0,1.10417,-0.895833,0
1081,1386,1721,1658,0,0,0,1.02083,-0.979167,0
599,939,1108,882,7,0,0,1.02083,-0.979167,1
544,1110,1110,1053,0,1,1,1.02083,-0.979167,0
608,1134,1377,891,2,1,0,1.02083,-0.979167,1
480,1046,1046,989,0,1,1,1.02083,-0.979167,0
646,1212,1212,1155,0,1,1,1.02083,-0.979167,0
832,1397,1397,1207,1,1,0,1.02083,-0.979167,0
2424,2989,2418,3102,0,0,0,1.02083,-0.979167,0
1454,2060,2556,2540,4,1,0,1.02083,-0.979167,0
1738,2361,2616,2474,0,0,0,1.02083,-0.979167,0
1777,2993,2767,2065,0,1,0,1.02083,-0.979167,0
3435,4154,4449,4116,2,1,0,1.02083,-0.979167,0
744,1309,1027,1196,0,0,0,1.02083,-0.979167,0
687,1027,1027,1222,0,0,0,1.02083,-0.979167,0
2309,2864,2705,3738,0,0,0,1.02083,-0.979167,0
3251,2387,2607,2796,6,1,0,1.02083,-0.979167,0
477,1099,1043,986,0,1,1,1.08333,-0.916667,0
675,1240,1240,1184,0,1,1,1.08333,-0.916667,0
1824,2453,2390,2390,5,1,0,1.08333,-0.916667,0
1061,2002,2445,2341,0,1,1,1.08333,-0.916667,0
389,1011,898,898,0,1,1,1.08333,-0.916667,0
412,977,921,864,0,1,1,1.08333,-0.916667,0
